id,created_at,text
6.89944E+17,1/20/16 22:54,Yes
6.89571E+17,1/19/16 22:12,No
6.89158E+17,1/18/16 18:51,Yes
6.88858E+17,1/17/16 22:58,No
6.88109E+17,1/15/16 21:21,No
6.87772E+17,1/14/16 23:01,Yes
6.87453E+17,1/14/16 1:55,No
6.87027E+17,1/12/16 21:43,No
6.86688E+17,1/11/16 23:14,No
6.8622E+17,1/10/16 16:15,Yes
6.85973E+17,1/9/16 23:53,No
6.85623E+17,1/9/16 0:45,Yes
6.85225E+17,1/7/16 22:23,No
6.848E+17,1/6/16 18:12,Yes
6.84452E+17,1/5/16 19:11,No
6.84141E+17,1/4/16 22:36,No
6.8377E+17,1/3/16 22:00,No
6.83424E+17,1/2/16 23:04,Yes
6.83069E+17,1/1/16 23:33,Yes
6.72924E+17,12/4/15 23:44,
6.27637E+17,8/2/15 0:27,Yes
6.03622E+17,5/27/15 18:00,
5.7657E+17,3/14/15 2:26,
5.76499E+17,3/13/15 21:44,Yes
5.76109E+17,3/12/15 19:56,No
5.75826E+17,3/12/15 1:10,No
5.75464E+17,3/11/15 1:13,
5.75435E+17,3/10/15 23:14,Yes
5.7506E+17,3/9/15 22:25,Yes
5.74671E+17,3/8/15 20:41,Yes
5.73902E+17,3/6/15 17:45,Yes
5.73516E+17,3/5/15 16:11,Yes
5.73247E+17,3/4/15 22:22,Yes
5.72902E+17,3/3/15 23:30,Yes
5.72816E+17,3/3/15 17:49,Yes
5.72561E+17,3/3/15 0:56,No
5.72449E+17,3/2/15 17:31,No
5.72119E+17,3/1/15 19:39,Yes
5.71851E+17,3/1/15 1:54,Yes
5.71696E+17,2/28/15 15:40,Yes
5.71422E+17,2/27/15 21:31,No
5.71029E+17,2/26/15 19:26,No
5.70378E+17,2/25/15 0:20,Yes
5.70033E+17,2/24/15 1:31,Yes
5.69916E+17,2/23/15 17:47,Yes
5.69647E+17,2/22/15 23:54,Yes
5.69296E+17,2/22/15 0:42,Yes
5.68917E+17,2/20/15 23:36,No
5.68511E+17,2/19/15 20:40,No
5.68212E+17,2/19/15 0:53,No
5.67827E+17,2/17/15 23:26,Yes
5.67498E+17,2/17/15 1:37,Yes
5.67359E+17,2/16/15 16:23,Yes
5.67038E+17,2/15/15 19:09,Yes
5.66764E+17,2/15/15 1:01,Yes
5.66321E+17,2/13/15 19:38,Yes
5.66003E+17,2/12/15 22:37,No
5.65588E+17,2/11/15 19:07,Yes
5.65322E+17,2/11/15 1:30,Yes
5.65254E+17,2/10/15 20:58,No
5.64919E+17,2/9/15 22:50,No
5.64863E+17,2/9/15 19:07,
5.64576E+17,2/9/15 0:04,Yes
5.64576E+17,2/9/15 0:04,No
5.64548E+17,2/8/15 22:15,
5.64514E+17,2/8/15 19:59,Yes
5.64185E+17,2/7/15 22:13,No
5.63783E+17,2/6/15 19:36,No
5.6345E+17,2/5/15 21:32,No
5.63089E+17,2/4/15 21:39,No
5.62679E+17,2/3/15 18:28,No
5.62392E+17,2/2/15 23:26,No
5.62025E+17,2/1/15 23:10,No
5.61616E+17,1/31/15 20:03,No
5.61329E+17,1/31/15 1:02,Yes
5.61301E+17,1/30/15 23:10,Yes
5.61271E+17,1/30/15 21:12,No
5.60966E+17,1/30/15 0:59,Yes
5.60845E+17,1/29/15 17:01,Yes
5.60605E+17,1/29/15 1:05,Yes
5.6053E+17,1/28/15 20:08,No
5.59794E+17,1/26/15 19:24,Yes
5.59516E+17,1/26/15 1:00,Yes
5.59442E+17,1/25/15 20:03,Yes
5.59138E+17,1/24/15 23:56,No
5.58362E+17,1/22/15 20:32,No
5.58056E+17,1/22/15 0:16,Yes
5.57927E+17,1/21/15 15:47,Yes
5.57676E+17,1/20/15 23:08,Yes
5.57289E+17,1/19/15 21:29,No
5.5696E+17,1/18/15 23:43,
5.56588E+17,1/17/15 23:05,No
5.5621E+17,1/16/15 22:01,No
5.55815E+17,1/15/15 19:54,No
5.5553E+17,1/15/15 1:00,Yes
5.55455E+17,1/14/15 20:03,Yes
5.55396E+17,1/14/15 16:09,Yes
5.55032E+17,1/13/15 16:00,Yes
5.54759E+17,1/12/15 21:57,No
5.54356E+17,1/11/15 19:14,No
5.54007E+17,1/10/15 20:07,No
5.53657E+17,1/9/15 20:59,Yes
5.53624E+17,1/9/15 18:45,No
5.53329E+17,1/8/15 23:16,Yes
5.53268E+17,1/8/15 19:12,No
5.52889E+17,1/7/15 18:08,No
5.52569E+17,1/6/15 20:55,Yes
5.52208E+17,1/5/15 21:02,No
5.51809E+17,1/4/15 18:33,No
5.51469E+17,1/3/15 20:05,No
5.50775E+17,1/1/15 22:07,Yes
